anio,lengua,lengua_nombre,variante,cve_ent,certeza,num
1990,0513,Zapoteco,"zapoteco de la Sierra sur, noroeste medio",020,estimada,70.2
1990,0513,Zapoteco,zapoteco de San Baltazar Chichicapam,020,estimada,66.8
1990,0513,Zapoteco,zapoteco de San Miguel Aloápam,020,estimada,63.0
1990,0513,Zapoteco,"zapoteco serrano, del sureste alto",020,estimada,56.7
1990,0513,Zapoteco,"zapoteco de Valles, del oeste central",020,estimada,56.4
1990,0513,Zapoteco,"zapoteco de la Sierra sur, noroeste",020,estimada,55.1
1990,0513,Zapoteco,"zapoteco de la Sierra sur, del sureste alto",020,estimada,50.8
1990,0513,Zapoteco,"zapoteco serrano, del sureste medio",020,estimada,50.8
1990,0513,Zapoteco,zapoteco de Santa María Quiegolani,020,estimada,49.9
1990,0513,Zapoteco,zapoteco de Mixtepec,020,estimada,47.8
1990,0513,Zapoteco,zapoteco del oeste de Tuxtepec,020,estimada,43.6
1990,0513,Zapoteco,"zapoteco serrano, del oeste medio",020,estimada,40.3
1990,0513,Zapoteco,zapoteco de Santiago Yaveo,020,estimada,36.0
1990,0513,Zapoteco,zapoteco de Quiavicuzas,020,estimada,34.6
1990,0513,Zapoteco,"zapoteco de Valles, norte",020,estimada,33.9
1990,0513,Zapoteco,"zapoteco serrano, del este",020,estimada,33.2
1990,0513,Zapoteco,"zapoteco serrano, del noroeste",020,estimada,31.9
1990,0513,Zapoteco,zapoteco de Santiago Laxopa,020,estimada,31.2
1990,0513,Zapoteco,zapoteco de San Antonino el Alto,020,estimada,29.2
1990,0513,Zapoteco,zapoteco de Santa María Temaxcalapa,020,estimada,26.2
1990,0513,Zapoteco,"zapoteco de la Sierra sur, del sureste bajo",020,estimada,20.4
1990,0513,Zapoteco,zapoteco de Zimatlán de Álvarez,020,estimada,14.3
1990,0513,Zapoteco,"zapoteco de Valles, oeste",020,estimada,10.4
1990,0513,Zapoteco,"zapoteco de la Sierra sur, noroeste bajo",020,estimada,9.1
1990,0513,Zapoteco,"zapoteco de Valles, del centro",020,estimada,6.7
1990,0513,Zapoteco,zapoteco de San Bartolo Yautepec,020,estimada,4.9
1990,0513,Zapoteco,zapoteco de San Felipe Tejalápam,020,estimada,2.5
1990,0513,Zapoteco,zapoteco de Asunción Tlacolulita,020,estimada,1.4
1990,0513,Zapoteco,,009,sin,700.0
1990,0513,Zapoteco,,030,sin,380.0
1990,0513,Zapoteco,,021,sin,120.0
1990,0513,Zapoteco,,015,sin,100.0
1990,0513,Zapoteco,,007,sin,80.0
1990,0513,Zapoteco,,012,sin,40.0
1990,0513,Zapoteco,,999,sin,40.0
1990,0513,Zapoteco,,013,sin,30.0
1990,0513,Zapoteco,,004,sin,20.0
1990,0513,Zapoteco,,005,sin,10.0
1990,0513,Zapoteco,,011,sin,10.0
1990,0513,Zapoteco,,016,sin,10.0
1990,0513,Zapoteco,,019,sin,10.0
1990,0513,Zapoteco,,023,sin,10.0
1990,0513,Zapoteco,,032,sin,10.0
1990,0514,Chatino,chatino central,020,estimada,17.4
1990,0514,Chatino,chatino occidental alto,020,estimada,14.2
1990,0514,Chatino,chatino oriental bajo,020,estimada,11.5
1990,0514,Chatino,chatino occidental bajo,020,estimada,3.8
1990,0514,Chatino,chatino oriental alto,020,estimada,2.1
1990,0514,Chatino,chatino de Zacatepec,020,estimada,1.0
1990,0515,Amuzgo,amuzgo del norte,012,estimada,55.1
1990,0515,Amuzgo,amuzgo del sur,012,estimada,34.9
1990,0515,Amuzgo,amuzgo alto del este,020,estimada,8.7
1990,0515,Amuzgo,amuzgo bajo del este,020,estimada,1.3
1990,0515,Amuzgo,,021,sin,20.0
1990,0515,Amuzgo,,009,sin,10.0
1990,0515,Amuzgo,,999,sin,10.0
