anio,nivel,cve,nombre,poblacion,sexo,num,den,casos,ee,cota,fuente,universo
2000,alcaldia,007,Iztapalapa,ambas,Mujeres,4031.0,826577.0,57840.0,0.000147,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,007,Iztapalapa,ambas,Total,8303.0,1589315.0,111190.0,0.000254,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,007,Iztapalapa,autoads,Hombres,7374.0,762738.0,53350.0,0.000612,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,007,Iztapalapa,autoads,Mujeres,7022.0,826577.0,57840.0,0.000223,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,007,Iztapalapa,autoads,Total,14396.0,1589315.0,111190.0,0.000581,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,007,Iztapalapa,hablantes5,Total,32141.0,1579229.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Población de 5 años y más
2000,alcaldia,007,Iztapalapa,monolingues,Total,168.0,32141.0,,,censo,"Censo General de Población y Vivienda 2000 (INEGI), ITER",Hablantes de lengua indígena
2000,alcaldia,007,Iztapalapa,todas,Hombres,22740.0,762738.0,53350.0,0.000971,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,007,Iztapalapa,todas,Mujeres,22066.0,826577.0,57840.0,0.000717,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,007,Iztapalapa,todas,Total,44806.0,1589315.0,111190.0,0.000966,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,008,La Magdalena Contreras,ambas,Hombres,311.0,95761.0,7769.0,3.2e-05,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,008,La Magdalena Contreras,ambas,Mujeres,538.0,104714.0,8650.0,0.000234,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
2000,alcaldia,008,La Magdalena Contreras,ambas,Total,849.0,200475.0,16419.0,8.2e-05,muestra,"Censo General de Población y Vivienda 2000 (INEGI), cuestionario ampliado",Población de 5 años y más
