anio,nivel,cve,nombre,lengua,lengua_nombre,familia,sexo,num,den,casos,ee,fuente
2015,alcaldia,012,Tlalpan,0501,Otomí,oto-mangue,Mujeres,492.0,342489.0,26957,0.00014427593915366832,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,004,Cuajimalpa de Morelos,0501,Otomí,oto-mangue,Hombres,55.0,91105.0,8684,4.240902017454657e-07,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,017,Venustiano Carranza,0501,Otomí,oto-mangue,Hombres,156.0,191031.0,10361,0.00020343514090741138,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,010,Álvaro Obregón,0501,Otomí,oto-mangue,Hombres,329.0,340293.0,19842,0.0002347097822632573,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,003,Coyoacán,0501,Otomí,oto-mangue,Hombres,210.0,269097.0,16728,4.792205310364207e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,014,Benito Juárez,0502,Mazahua,oto-mangue,Mujeres,94.0,219013.0,11405,0.00014701395851123543,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,006,Iztacalco,0502,Mazahua,oto-mangue,Mujeres,248.0,199219.0,10107,0.0008414727128675167,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,012,Tlalpan,0502,Mazahua,oto-mangue,Hombres,161.0,307584.0,24514,8.781112951612877e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,004,Cuajimalpa de Morelos,0502,Mazahua,oto-mangue,Mujeres,185.0,98827.0,9090,0.0007265721048610248,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,007,Iztapalapa,0502,Mazahua,oto-mangue,Hombres,1232.0,836632.0,47722,0.00021419247805422428,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,013,Xochimilco,0502,Mazahua,oto-mangue,Hombres,191.0,189662.0,16137,0.0001517071626531935,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,002,Azcapotzalco,0502,Mazahua,oto-mangue,Hombres,57.0,180287.0,8814,6.745231089112177e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,013,Xochimilco,0502,Mazahua,oto-mangue,Mujeres,285.0,207198.0,17066,0.0001749541840341956,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,002,Azcapotzalco,0502,Mazahua,oto-mangue,Mujeres,78.0,205484.0,9967,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,014,Benito Juárez,0502,Mazahua,oto-mangue,Hombres,28.0,186974.0,9548,6.191066556647138e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,006,Iztacalco,0502,Mazahua,oto-mangue,Hombres,122.0,176998.0,9001,0.00021740291173343113,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,015,Cuauhtémoc,0502,Mazahua,oto-mangue,Mujeres,287.0,269988.0,16823,0.0002640101812720667,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,008,La Magdalena Contreras,0502,Mazahua,oto-mangue,Hombres,51.0,110870.0,8222,4.7095755474801426e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,009,Milpa Alta,0502,Mazahua,oto-mangue,Mujeres,61.0,67111.0,9267,1.9709497678143377e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,011,Tláhuac,0502,Mazahua,oto-mangue,Mujeres,226.0,181763.0,10390,0.00018534280269635113,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,017,Venustiano Carranza,0502,Mazahua,oto-mangue,Mujeres,98.0,219680.0,11712,0.00015176711672547716,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,010,Álvaro Obregón,0502,Mazahua,oto-mangue,Mujeres,838.0,378535.0,22016,0.0003647895839106169,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,003,Coyoacán,0502,Mazahua,oto-mangue,Mujeres,239.0,310461.0,19170,0.0001081864249281547,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,015,Cuauhtémoc,0502,Mazahua,oto-mangue,Hombres,314.0,244811.0,15065,0.0003522239831853442,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,008,La Magdalena Contreras,0502,Mazahua,oto-mangue,Mujeres,90.0,120623.0,8995,0.00010170441222781368,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,009,Milpa Alta,0502,Mazahua,oto-mangue,Hombres,142.0,63632.0,8851,0.00014184528438502376,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,011,Tláhuac,0502,Mazahua,oto-mangue,Hombres,248.0,164738.0,9567,0.0004124189169268417,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,016,Miguel Hidalgo,0502,Mazahua,oto-mangue,Mujeres,237.0,191249.0,10731,0.0002851274644761076,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,005,Gustavo A. Madero,0502,Mazahua,oto-mangue,Hombres,139.0,531706.0,29250,5.163172637183522e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,007,Iztapalapa,0502,Mazahua,oto-mangue,Mujeres,1342.0,911249.0,51766,0.0002681953826531948,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,016,Miguel Hidalgo,0502,Mazahua,oto-mangue,Hombres,27.0,160433.0,8977,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,005,Gustavo A. Madero,0502,Mazahua,oto-mangue,Mujeres,197.0,587418.0,32389,6.955576202367536e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,012,Tlalpan,0502,Mazahua,oto-mangue,Mujeres,268.0,342489.0,26957,6.619816335127874e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,004,Cuajimalpa de Morelos,0502,Mazahua,oto-mangue,Hombres,120.0,91105.0,8684,0.000390164135226398,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,017,Venustiano Carranza,0502,Mazahua,oto-mangue,Hombres,119.0,191031.0,10361,0.00010229423272702418,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,010,Álvaro Obregón,0502,Mazahua,oto-mangue,Hombres,482.0,340293.0,19842,0.00034926644165923456,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,003,Coyoacán,0502,Mazahua,oto-mangue,Hombres,115.0,269097.0,16728,2.888464591404236e-05,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,012,Tlalpan,0503,Matlatzinca,oto-mangue,Hombres,1.0,307584.0,24514,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,007,Iztapalapa,0503,Matlatzinca,oto-mangue,Hombres,77.0,836632.0,47722,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,013,Xochimilco,0503,Matlatzinca,oto-mangue,Hombres,4.0,189662.0,16137,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,013,Xochimilco,0503,Matlatzinca,oto-mangue,Mujeres,4.0,207198.0,17066,,"Encuesta Intercensal 2015 (INEGI), microdatos"
2015,alcaldia,003,Coyoacán,0503,Matlatzinca,oto-mangue,Mujeres,12.0,310461.0,19170,,"Encuesta Intercensal 2015 (INEGI), microdatos"
