familia,agrupacion,variante,autodenominacion,entidades,municipios,n_localidades
oto-mangue,chichimeco jonaz,chichimeco jonaz,uzá,GUANAJUATO,GUANAJUATO: San Luis de la Paz,39
oto-mangue,chinanteco,chinanteco del norte,jujmi (del norte) | jujmi tsa kö 'w++ | jmiih kia' dzä 'vï ï,OAXACA | VERACRUZ DE IGNACIO DE LA LLAVE,OAXACA: San Felipe Jalapa de Díaz | OAXACA: San Felipe Usila | OAXACA: San José Chiltepec | OAXACA: San Juan Cotzocón | OAXACA: San Lucas Ojitlán | OAXACA: San Juan Bautista Tuxtepec | VERACRUZ DE IGNACIO DE LA LLAVE: Cosamaloapan | VERACRUZ DE IGNACIO DE LA LLAVE: Isla | VERACRUZ DE IGNACIO DE LA LLAVE: Juan Rodríguez Clara | VERACRUZ DE IGNACIO DE LA LLAVE: Tierra Blanca | VERACRUZ DE IGNACIO DE LA LLAVE: Tres Valles | VERACRUZ DE IGNACIO DE LA LLAVE: Uxpanapa,191
oto-mangue,chinanteco,chinanteco central bajo,j+g ki tsomän | j+g dsa k+ | jumi dsa iin+n,OAXACA,OAXACA: San Juan Bautista Valle Nacional,5
oto-mangue,chinanteco,chinanteco del sureste alto,jumi dsa mojai,OAXACA,OAXACA: Ayotzintepec,7
oto-mangue,chinanteco,chinanteco del sureste bajo,jujmi dsa maji'i | jujmi dsa m+ta'o,OAXACA,OAXACA: San Juan Lalana,57
oto-mangue,chinanteco,chinanteco del oeste central alto,jaú j | jmiih kia' dzä jii',OAXACA,OAXACA: San Felipe Usila,24
oto-mangue,chinanteco,chinanteco de la Sierra,juu jmiih,OAXACA,OAXACA: San Juan Bautista Atatlahuca | OAXACA: San Juan Bautista Valle Nacional | OAXACA: San Juan Quiotepec | OAXACA: San Pedro Yolox | OAXACA: Santiago Comaltepec,48
oto-mangue,chinanteco,chinanteco del noroeste,jau jmai,OAXACA,OAXACA: San Andrés Teotilalpam | OAXACA: San Juan Bautista Tlacoatzintepec,12
oto-mangue,chinanteco,chinanteco del oeste,jujma,OAXACA,OAXACA: San Pedro Sochiapám,6
oto-mangue,chinanteco,chianateco del oeste central bajo,jejmei | jejmi | jajmi dzä kï ï',OAXACA,OAXACA: San Felipe Usila,8
oto-mangue,chinanteco,chinanteco del sureste medio,jujmi (del sureste medio),OAXACA | VERACRUZ DE IGNACIO DE LA LLAVE,OAXACA: San Juan Petlapa | OAXACA: Santiago Choapam | OAXACA: Santiago Jocotepec | VERACRUZ DE IGNACIO DE LA LLAVE: Playa Vicente,86
oto-mangue,chinanteco,chinanteco central,jajme dzä mii | jmiih kia' dzä mii,OAXACA,OAXACA: Ayotzintepec | OAXACA: San Felipe Usila | OAXACA: San José Chiltepec | OAXACA: San Juan Bautista Valle Nacional | OAXACA: Santa María Jacatepec | OAXACA: Santiago Jocotepec,166
oto-mangue,chocholteco,chocholteco del oeste,ngiba (del oeste),OAXACA,OAXACA: Ocotlán | OAXACA: San Francisco Teopan | OAXACA: San Miguel Tequixtepec | OAXACA: San Miguel Tulancingo | OAXACA: San Pedro Nopala | OAXACA: Santa Magdalena Jicotlán | OAXACA: Teotongo,25
oto-mangue,chocholteco,chocholteco del sur,ngigua (del sur),OAXACA,OAXACA: San Miguel Huautla | OAXACA: Santa María Nativitas,11
oto-mangue,chocholteco,chocholteco del este,ngiba (del este),OAXACA,OAXACA: San Juan Bautista Coixtlahuaca | OAXACA: San Miguel Chicahua,6
oto-mangue,ixcateco,ixcateco,xwja,OAXACA,OAXACA: Santa María Ixcatlán,1
oto-mangue,matlatzinca,matlatzinca,bot'una,ESTADO DE MÉXICO,ESTADO DE MÉXICO: Temascaltepec,1
