lengua,agrupacion,variante,cve_ent,cve_mun,nom_mun,compartido,parte
0211,náhuatl,náhuatl del centro de Puebla,021,188,Tochimilco,0,1.0
0211,náhuatl,mexicano bajo de occidente,006,001,Armería,0,1.0
0211,náhuatl,mexicano bajo de occidente,006,005,Cuauhtémoc,0,1.0
0211,náhuatl,mexicano bajo de occidente,006,006,Ixtlahuacán,0,1.0
0211,náhuatl,mexicano bajo de occidente,006,007,Manzanillo,0,1.0
0211,náhuatl,mexicano bajo de occidente,006,009,Tecomán,0,1.0
0211,náhuatl,mexicano del noroeste,010,014,Mezquital,0,1.0
0211,náhuatl,mexicano de Guerrero,012,002,Ahuacuotzingo,0,1.0
0211,náhuatl,mexicano de Guerrero,012,005,Alpoyeca,0,1.0
0211,náhuatl,mexicano de Guerrero,012,008,Atenango del Río,0,1.0
0211,náhuatl,mexicano de Guerrero,012,010,Atlixtac,0,1.0
0211,náhuatl,mexicano de Guerrero,012,019,Copalillo,0,1.0
0211,náhuatl,mexicano de Guerrero,012,020,Copanatoyac,0,1.0
0211,náhuatl,mexicano de Guerrero,012,024,Cualac,0,1.0
0211,náhuatl,mexicano de Guerrero,012,028,Chilapa de Álvarez,0,1.0
0211,náhuatl,mexicano de Guerrero,012,075,Eduardo Neri,0,1.0
0211,náhuatl,mexicano de Guerrero,012,033,Huamuxtitlán,0,1.0
0211,náhuatl,mexicano de Guerrero,012,034,Huitzuco de los Figueroa,0,1.0
0211,náhuatl,mexicano de Guerrero,012,042,Mártir de Cuilapan,0,1.0
0211,náhuatl,mexicano de Guerrero,012,045,Olinala,0,1.0
0211,náhuatl,mexicano de Guerrero,012,055,Taxco de Alarcón,0,1.0
0211,náhuatl,mexicano de Guerrero,012,058,Teloloapan,0,1.0
0211,náhuatl,mexicano de Guerrero,012,059,Tepecoacuilco de Trujano,0,1.0
0211,náhuatl,mexicano de Guerrero,012,061,Tixtla de Guerrero,0,1.0
0211,náhuatl,mexicano de Guerrero,012,066,Tlapa de Comonfort,0,1.0
0211,náhuatl,mexicano de Guerrero,012,069,Xalpatlahuac,0,1.0
0211,náhuatl,mexicano de Guerrero,012,072,Zapotitlán Tablas,0,1.0
0211,náhuatl,mexicano de Guerrero,012,074,Zitlala,0,1.0
0211,náhuatl,mexicano de Guerrero,021,087,Jolalpan,0,1.0
0211,náhuatl,mexicano de occidente,014,027,Cuautitlán de García Barragán,0,1.0
0211,náhuatl,mexicano central de occidente,016,008,Aquila,0,1.0
0211,náhuatl,mexicano central de occidente,016,026,Chinicuila,0,1.0
0211,náhuatl,mexicano central de occidente,016,014,Coahuayana,0,1.0
0211,náhuatl,mexicano central de occidente,016,015,Coalcomán de Vázquez Pallares,0,1.0
0211,náhuatl,mexicano central bajo,017,004,Ayala,0,1.0
0211,náhuatl,mexicano central bajo,017,012,Jojutla,0,1.0
0211,náhuatl,mexicano de Temixco,017,017,Puente de Ixtla,0,1.0
0211,náhuatl,mexicano de Temixco,017,018,Temixco,0,1.0
0211,náhuatl,mexicano de Puente de Ixtla,017,006,Cuautla,0,1.0
0211,náhuatl,mexicano de Tetela del Volcán,017,022,Tetela del Volcán,0,1.0
0211,náhuatl,mexicano alto de occidente,018,001,Acaponeta,0,1.0
0211,náhuatl,mexicano alto de occidente,018,009,Del Nayar [El Nayar],0,1.0
0211,náhuatl,mexicano del oriente,027,002,Cárdenas,0,1.0
0211,náhuatl,mexicano del oriente,027,005,Comalcalco,0,1.0
0211,náhuatl,mexicano del oriente central,029,010,Chiautempán,0,1.0
0211,náhuatl,mexicano del oriente central,029,018,Contla de Juan Cuamatzi,0,1.0
0211,náhuatl,mexicano del oriente central,029,017,Mazatecochco de José María Morelos,0,1.0
0211,náhuatl,mexicano del oriente central,029,050,San Francisco Tetlanohcan,0,1.0
0211,náhuatl,mexicano del oriente central,029,025,San Pablo del Monte,0,1.0
0211,náhuatl,mexicano del oriente central,029,026,Santa Cruz Tlaxcala,0,1.0
0211,náhuatl,mexicano del oriente central,029,027,Tenancingo,0,1.0
0211,náhuatl,mexicano del oriente central,029,028,Teolocholco,0,1.0
0211,náhuatl,mexicano del centro bajo,015,086,Temascaltepec,0,1.0
0211,náhuatl,mexicano del centro alto,009,009,Milpa Alta,0,1.0
0211,náhuatl,mexicano del centro alto,015,002,Acolman,0,1.0
0211,náhuatl,mexicano del centro alto,015,023,Coyotepec,0,1.0
0211,náhuatl,mexicano del centro alto,015,035,Huehuetoca,0,1.0
0211,náhuatl,mexicano del centro alto,015,059,Nextlalpan,0,1.0
0211,náhuatl,mexicano del centro alto,015,081,Tecámac,0,1.0
0211,náhuatl,mexicano del centro alto,015,091,Teoloyucan,0,1.0
0211,náhuatl,mexicano del centro alto,015,099,Texcoco,0,1.0
0211,náhuatl,mexicano del centro alto,015,100,Tezoyuca,0,1.0
0211,náhuatl,mexicano del centro alto,015,108,Tultepec,0,1.0
0211,náhuatl,mexicano del centro,015,060,Nicolás Romero,0,1.0
0211,náhuatl,mexicano del centro,015,101,Tianguistenco,0,1.0
0211,náhuatl,mexicano del centro,015,043,Xalatlaco,0,1.0
0211,náhuatl,mexicano del oriente de Puebla,021,050,Chichiquila,0,1.0
0211,náhuatl,mexicano del oriente de Puebla,021,058,Chilchotla,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,011,Atlapexco,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,014,Calnali,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,018,Chapulhuacán,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,025,Huautla,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,026,Huazalingo,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,028,Huejutla de Reyes,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,032,Jaltocan,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,034,Lolotla,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,046,San Felipe Orizatlán,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,062,Tepehuacán de Guerrero,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,068,Tianguistengo,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,073,Tlanchinol,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,078,Xochiatipan,0,1.0
0211,náhuatl,mexicano de la Huasteca hidalguense,013,080,Yahualica,0,1.0
0201,pápago,pápago,026,004,Altar,0,1.0
0201,pápago,pápago,026,017,Caborca,0,1.0
0201,pápago,pápago,026,070,General Plutarco Elías Calles,0,1.0
0202,pima,pima del norte,008,040,Madera,0,1.0
0202,pima,pima del norte,008,047,Moris,0,1.0
0202,pima,pima del sur,008,051,Ocampo,0,1.0
0202,pima,pima del este,026,069,Yécora,0,1.0
0205,tarahumara,tarahumara del oeste,008,020,Chínipas,0,1.0
0205,tarahumara,tarahumara del oeste,008,030,Guazapares,0,1.0
0205,tarahumara,tarahumara del oeste,008,041,Maguarichi,0,1.0
0205,tarahumara,tarahumara del oeste,008,065,Urique,1,0.5
0205,tarahumara,tarahumara del oeste,008,066,Uruachi,0,1.0
0205,tarahumara,tarahumara del norte,008,009,Bocoyna,0,1.0
0205,tarahumara,tarahumara del norte,008,012,Carichi,0,1.0
0205,tarahumara,tarahumara del norte,008,017,Cuauhtémoc,0,1.0
0205,tarahumara,tarahumara del norte,008,031,Guerrero,0,1.0
0205,tarahumara,tarahumara del norte,008,049,Nonoava,0,1.0
0205,tarahumara,tarahumara del norte,008,057,San Francisco de Borja,0,1.0
0205,tarahumara,tarahumara de Cumbres,008,027,Guachochi,1,0.5
0205,tarahumara,tarahumara de Cumbres,008,065,Urique,1,0.5
0205,tarahumara,tarahumara del centro,008,007,Balleza,0,1.0
0205,tarahumara,tarahumara del centro,008,008,Batopilas,0,1.0
0205,tarahumara,tarahumara del centro,008,064,El Tule,0,1.0
0205,tarahumara,tarahumara del centro,008,027,Guachochi,1,0.5
0205,tarahumara,tarahumara del centro,008,046,Morelos,0,1.0
0205,tarahumara,tarahumara del sur,008,029,Guadalupe y Calvo,0,1.0
0203,tepehuano del norte,tepehuano del norte,008,029,Guadalupe y Calvo,0,1.0
0203,tepehuano del norte,tepehuano del norte,008,027,Guachochi,0,1.0
0204,tepehuano del sur,tepehuano del sur alto,010,023,Pueblo Nuevo,0,1.0
0204,tepehuano del sur,tepehuano del sur alto,018,001,Acaponeta,0,1.0
0204,tepehuano del sur,tepehuano del sur alto,018,005,Huajicori,0,1.0
0204,tepehuano del sur,tepehuano del sur alto,025,009,Escuinapa,0,1.0
0204,tepehuano del sur,tepehuano del sur bajo,010,014,Mezquital,1,0.5
0204,tepehuano del sur,tepehuano del sur bajo,010,033,Súchil,0,1.0
0204,tepehuano del sur,tepehuano del sur bajo,032,049,Valparaíso,0,1.0
0204,tepehuano del sur,tepehuano del sur central,010,014,Mezquital,1,0.5
0207,yaqui,yaqui,026,012,Bácum,0,1.0
0207,yaqui,yaqui,026,018,Cajeme,0,1.0
0207,yaqui,yaqui,026,025,Empalme,0,1.0
0207,yaqui,yaqui,026,029,Guaymas,0,1.0
0207,yaqui,yaqui,026,072,San Ignacio Río Muerto,0,1.0
0303,cucapá,cucapá,002,002,Mexicali,0,1.0
0303,cucapá,cucapá,026,055,San Luis Río Colorado,0,1.0
0305,kiliwa,kiliwa,002,001,Ensenada,0,1.0
0304,kumiai,kumiai,002,001,Ensenada,0,1.0
0304,kumiai,kumiai,002,003,Tecate,0,1.0
0302,ku'ahl,ku'ahl,002,001,Ensenada,0,1.0
0301,paipai,paipai,002,001,Ensenada,0,1.0
0401,seri,seri,026,030,Hermosillo,0,1.0
0401,seri,seri,026,047,Pitiquito,0,1.0
0515,amuzgo,amuzgo del norte,012,062,Tlacoachistlahuaca,0,1.0
0515,amuzgo,amuzgo del norte,012,071,Xochistlahuaca,0,1.0
0515,amuzgo,amuzgo del sur,012,013,Azoyú,0,1.0
0515,amuzgo,amuzgo del sur,012,023,Cuajinicuilapa,0,1.0
0515,amuzgo,amuzgo del sur,012,046,Ometepec,0,1.0
0515,amuzgo,amuzgo bajo del este,020,415,Santa María Ipalapa,0,1.0
0515,amuzgo,amuzgo alto del este,020,300,San Pedro Amuzgos,0,1.0
0517,cuicateco,cuicateco del centro,020,019,Concepción Pápalo,0,1.0
0517,cuicateco,cuicateco del centro,020,098,San Andrés Teotilalpam,1,0.3333333333333333
0517,cuicateco,cuicateco del centro,020,139,San Francisco Chapulapa,1,0.3333333333333333
0517,cuicateco,cuicateco del centro,020,177,San Juan Bautista Cuicatlán,0,1.0
0517,cuicateco,cuicateco del centro,020,220,San Juan Tepeuxila,0,1.0
0517,cuicateco,cuicateco del centro,020,326,San Pedro Sochiapam,0,1.0
0517,cuicateco,cuicateco del centro,020,425,Santa María Pápalo,0,1.0
0517,cuicateco,cuicateco del centro,020,438,Santa María Tlalixtac,1,0.3333333333333333
0517,cuicateco,cuicateco del centro,020,527,Santos Reyes Pápalo,0,1.0
0517,cuicateco,cuicateco del centro,020,558,Valerio Trujano,0,1.0
0517,cuicateco,cuicateco del norte,020,098,San Andrés Teotilalpam,1,0.3333333333333333
0517,cuicateco,cuicateco del norte,020,139,San Francisco Chapulapa,1,0.3333333333333333
0517,cuicateco,cuicateco del norte,020,330,San Pedro Teutila,1,0.5
0517,cuicateco,cuicateco del norte,020,438,Santa María Tlalixtac,1,0.3333333333333333
0517,cuicateco,cuicateco del oriente,020,098,San Andrés Teotilalpam,1,0.3333333333333333
0517,cuicateco,cuicateco del oriente,020,139,San Francisco Chapulapa,1,0.3333333333333333
0517,cuicateco,cuicateco del oriente,020,330,San Pedro Teutila,1,0.5
0517,cuicateco,cuicateco del oriente,020,438,Santa María Tlalixtac,1,0.3333333333333333
0514,chatino,chatino occidental alto,020,158,San Jacinto Tlacotepec,0,1.0
0514,chatino,chatino occidental alto,020,386,Santa Cruz Zenzontepec,0,1.0
0514,chatino,chatino occidental alto,020,466,Santiago Ixtayutla,0,1.0
0514,chatino,chatino occidental bajo,020,319,San Pedro Mixtepec Distrito 22,0,1.0
0514,chatino,chatino occidental bajo,020,543,Tataltepec de Valdés,1,0.5
0514,chatino,chatino occidental bajo,020,334,Villa de Tututepec de Melchor Ocampo,0,1.0
0514,chatino,chatino central,020,213,San Juan Quiahije,0,1.0
0514,chatino,chatino central,020,272,San Miguel Panixtlahuaca,0,1.0
