lengua,agrupacion,variante,cve_ent,peso,n_municipios,compartidos
0516,mixteco,mixteco de San Miguel Piedras,020,699.0,1,0
0516,mixteco,mixteco de San Pablo Tijaltepec,020,2489.0,1,0
0516,mixteco,mixteco de San Pedro Molinos,020,432.0,1,0
0516,mixteco,mixteco de San Pedro Tidaá,020,311.0,1,0
0516,mixteco,mixteco de Santa Cruz Itundujia,020,1030.0,1,0
0516,mixteco,mixteco de Santa Inés de Zaragoza,020,486.0,1,0
0516,mixteco,mixteco de Santa Lucía Monteverde,020,3131.0,1,0
0516,mixteco,mixteco de Santa María Huazolotitlán,020,3180.0,1,0
0516,mixteco,mixteco de Santa María Peñoles,020,7357.0,1,0
0516,mixteco,mixteco de Santa María Yosoyúa,020,1357.0,1,0
0516,mixteco,mixteco de Santiago Amoltepec,020,7092.0,1,0
0516,mixteco,mixteco de Santo Domingo Tonalá,020,1411.0,1,0
0516,mixteco,mixteco de Sierra sur noroeste,020,7297.0,3,0
0516,mixteco,mixteco de Sierra sur oeste,020,3052.0,2,0
0516,mixteco,mixteco de Tlacoachistlahuaca,012,10535.0,1,0
0516,mixteco,mixteco de Tlahuapa,012,4280.5,1,1
0516,mixteco,mixteco de Tlalixtaquilla de Maldonado,012,1295.0,1,0
0516,mixteco,mixteco de Tlaltempan,021,417.0,1,0
0516,mixteco,mixteco de Villa de Tututepec,020,1305.0,1,0
0516,mixteco,mixteco de Xochapa,012,4280.5,1,1
0516,mixteco,mixteco de Xochistlahuaca,012,1541.0,1,0
0516,mixteco,mixteco de Xonacatlán,012,4280.5,1,1
0516,mixteco,mixteco de Yosondúa,020,1802.0,1,0
0516,mixteco,mixteco de Yosonotú,020,1000.0,1,0
0516,mixteco,mixteco de Yutanduchi de Guerrero,020,921.0,1,0
0516,mixteco,mixteco de Zapotitlán,021,405.0,1,0
0516,mixteco,mixteco de la frontera Puebla-Oaxaca,020,425.0,2,0
0516,mixteco,mixteco de la frontera Puebla-Oaxaca,021,2324.0,4,0
0516,mixteco,mixteco de oeste central,020,1267.0,3,0
0516,mixteco,mixteco de Ñumi,020,5166.0,1,0
0516,mixteco,mixteco del este,020,2462.0,3,1
0516,mixteco,mixteco del este central,020,2107.0,3,0
0516,mixteco,mixteco del noreste,020,4771.0,6,1
0516,mixteco,mixteco del noreste bajo,020,269.0,4,0
0516,mixteco,mixteco del noroeste,020,5866.0,4,0
0516,mixteco,mixteco del noroeste medio,020,3903.0,2,1
0516,mixteco,mixteco del norte bajo,020,7850.0,7,0
0516,mixteco,mixteco del oeste,020,21818.0,3,0
0516,mixteco,mixteco del oeste alto,020,15521.0,18,1
0516,mixteco,mixteco del oeste de la costa,020,7731.0,3,1
0516,mixteco,mixteco del sur bajo,020,5540.0,3,0
0516,mixteco,mixteco del sur medio,020,3364.0,3,0
0516,mixteco,mixteco del sureste central,020,985.0,2,0
0516,mixteco,mixteco del suroeste,020,6818.0,2,0
0516,mixteco,mixteco del suroeste central,020,15068.0,2,0
0516,mixteco,mixteco del suroeste de Puebla,021,1095.0,2,0
0517,cuicateco,cuicateco del centro,020,7920.7,10,3
0517,cuicateco,cuicateco del norte,020,881.2,4,4
0517,cuicateco,cuicateco del oriente,020,881.2,4,4
0518,triqui,triqui de San Juan Copala,020,13048.0,1,0
0518,triqui,triqui de la alta,020,2697.0,1,1
0518,triqui,triqui de la baja,020,3348.0,2,1
0518,triqui,triqui de la media,020,2061.0,1,0
0601,huasteco,huasteco de oriente,030,3991.0,11,0
0601,huasteco,huasteco del centro,030,50535.0,3,0
0601,huasteco,huasteco del occidente,024,104725.0,13,0
0602,maya,maya,004,63706.0,9,0
0602,maya,maya,023,161340.0,6,0
0602,maya,maya,031,467729.0,100,0
0603,lacandón,lacandón,007,22.0,1,0
0604,ch'ol,ch'ol del noroeste,007,156776.0,10,0
0604,ch'ol,ch'ol del noroeste,027,8030.0,2,0
0604,ch'ol,ch'ol del sureste,004,5237.0,1,0
0604,ch'ol,ch'ol del sureste,007,38438.0,6,0
0604,ch'ol,ch'ol del sureste,027,769.0,2,0
0605,chontal de Tabasco,chontal de Tabasco central,027,17273.0,2,0
0605,chontal de Tabasco,chontal de Tabasco del este,027,17066.0,1,0
0605,chontal de Tabasco,chontal de Tabasco del norte,027,25204.0,1,0
0605,chontal de Tabasco,chontal de Tabasco del sureste,027,4877.0,1,0
0606,tseltal,tseltal del norte,007,303272.0,11,1
0606,tseltal,tseltal del norte,027,115.0,1,0
0606,tseltal,tseltal del occidente,007,196734.0,30,0
0606,tseltal,tseltal del oriente,007,105422.0,6,1
0606,tseltal,tseltal del oriente,027,748.0,2,0
0606,tseltal,tseltal del sur,007,36852.0,11,0
0607,tsotsil,tsotsil de los Altos,007,54603.0,1,0
0607,tsotsil,tsotsil del centro,007,107255.5,3,1
0607,tsotsil,tsotsil del este alto,007,13050.5,2,1
0607,tsotsil,tsotsil del este bajo,007,51285.0,4,0
0607,tsotsil,tsotsil del noroeste,007,89786.0,5,0
0607,tsotsil,tsotsil del norte alto,007,159373.0,14,0
0607,tsotsil,tsotsil del norte bajo,007,8347.0,3,0
0608,Q'anjob'al,Q'anjob'al,004,775.0,2,0
0608,Q'anjob'al,Q'anjob'al,007,4215.0,8,0
0608,Q'anjob'al,Q'anjob'al,023,54.0,1,0
0609,Akateko,Akateko,004,0.0,1,0
0609,Akateko,Akateko,007,1631.0,2,0
0609,Akateko,Akateko,023,0.0,1,0
0610,Jakalteko,Jakalteko,004,36.0,2,0
0610,Jakalteko,Jakalteko,007,266.0,4,0
0610,Jakalteko,Jakalteko,023,0.0,1,0
0611,qato'k,mocho',007,105.0,1,0
0611,qato'k,tuzanteco,007,0.0,1,0
0612,Chuj,Chuj,004,241.0,2,0
0612,Chuj,Chuj,023,0.0,1,0
0613,tojolabal,tojolabal,007,98728.0,6,0
0614,Q'eqchi',Q'eqchi',004,225.0,2,0
0614,Q'eqchi',Q'eqchi',023,0.0,1,0
0615,K'iche',K'iche' (central),004,4.7,1,1
0615,K'iche',K'iche' (occidental),004,4.7,1,1
0615,K'iche',K'iche' (oriental),004,4.7,2,1
0615,K'iche',K'iche' (oriental),007,8.0,2,0
0615,K'iche',K'iche' (oriental),023,27.0,1,0
0616,Kaqchikel,Kaqchikel,004,0.0,2,0
0616,Kaqchikel,Kaqchikel,023,0.0,1,0
0617,Teko,Teko,007,77.0,3,0
0618,Mam,Mam de la Sierra,007,1587.0,6,0
0618,Mam,Mam de la frontera,007,1518.0,6,0
0618,Mam,Mam del Soconusco,007,1583.0,7,0
0618,Mam,Mam del norte,004,412.5,2,2
0618,Mam,Mam del norte,023,10.0,1,1
0618,Mam,Mam del sur,004,412.5,2,2
0618,Mam,Mam del sur,023,10.0,1,1
0619,Awakateko,Awakateko,004,0.0,1,0
0620,Ixil,Ixil chajuleño,004,22.0,1,0
0620,Ixil,Ixil chajuleño,023,0.0,1,1
0620,Ixil,Ixil nebajeño,023,0.0,1,1
0701,totonaco,totonaco central alto,030,16262.0,1,0
0701,totonaco,totonaco central del norte,021,9003.0,11,2
0701,totonaco,totonaco central del norte,030,2517.0,1,0
0701,totonaco,totonaco central del sur,021,74828.0,24,1
0701,totonaco,totonaco central del sur,030,50309.0,6,0
0701,totonaco,totonaco de la costa,030,50944.0,9,0
0701,totonaco,totonaco del cerro Xinolatépetl,021,303.0,1,1
0701,totonaco,totonaco del río Necaxa,021,4214.0,2,2
0701,totonaco,totonaco del sureste,030,282.0,6,0
0702,tepehua,tepehua del norte,030,2488.0,1,0
0702,tepehua,tepehua del oeste,030,2741.0,2,0
0702,tepehua,tepehua del sur,013,795.0,1,0
0702,tepehua,tepehua del sur,021,215.0,1,0
0801,tarasco,purépecha,016,123128.0,19,0
0901,mixe,mixe alto del centro,020,14601.0,3,1
0901,mixe,mixe alto del norte,020,9045.0,3,1
0901,mixe,mixe alto del sur,020,10664.0,3,0
0901,mixe,mixe bajo,020,30779.0,5,0
0901,mixe,mixe medio del este,020,24950.5,7,1
0901,mixe,mixe medio del oeste,020,3455.5,2,1
0902,sayulteco,sayulteco,030,3684.0,1,0
0903,oluteco,oluteco,030,62.0,1,0
0904,texistepequeño,texistepequeño,030,336.0,1,0
0905,ayapaneco,ayapaneco,027,9.0,1,0
0906,popoluca de la sierra,popoluca de la Sierra,030,33672.0,3,0
0907,zoque,zoque del centro,007,6582.0,3,0
0907,zoque,zoque del este,007,8101.0,3,1
0907,zoque,zoque del noroeste,007,4417.0,1,0
0907,zoque,zoque del norte alto,007,11891.0,7,0
0907,zoque,zoque del norte bajo,007,17300.0,4,1
0907,zoque,zoque del sur,007,1144.0,1,0
0907,zoque,zoque del sureste,007,2680.0,1,0
1001,chontal de Oaxaca,chontal de Oaxaca alto,020,1687.5,7,2
1001,chontal de Oaxaca,chontal de Oaxaca bajo,020,555.5,1,1
1001,chontal de Oaxaca,chontal de Oaxaca de la costa,020,1794.0,3,1
1101,huave,huave del este,020,3531.0,2,0
1101,huave,huave del oeste,020,14226.0,2,0
