cve_ageb,alcaldia,POBTOT,PHOG_IND,P3YM_HLI,P3HLINHE,P_3YMAS,P_15YMAS,PSINDER,VIVPARH_CV,VPH_INTER,VPH_PC,VPH_CEL,VPH_RADIO,VPH_STVP,VPH_SPMVPI,VPH_SINTIC,GRAPROES,im_conapo,gm_conapo,grs_coneval,tasa_phog_ind,tasa_p3ym_hli,tasa_p3hlinhe,tasa_psinder,tasa_vph_inter,tasa_vph_pc,tasa_vph_cel,tasa_vph_radio,tasa_vph_stvp,tasa_vph_spmvpi,tasa_vph_sintic,gm_orden,grs_orden
0901000012220,Álvaro Obregón,3537,62,26,0,3414,2707,1316,778,500,356,708,571,338,133,3,9.41,0.9403,Medio,Bajo,1.75,0.76,0.0,37.21,64.27,45.76,91.0,73.39,43.44,17.1,0.39,3.0,2.0
090100001199A,Álvaro Obregón,3207,115,39,0,3098,2469,870,815,548,352,753,663,385,189,,9.46,0.9418,Medio,Bajo,3.59,1.26,0.0,27.13,67.24,43.19,92.39,81.35,47.24,23.19,,3.0,2.0
0901000010474,Álvaro Obregón,9421,94,35,0,9127,7542,2186,2405,1599,1070,2162,1881,859,543,6,9.61,0.9475,Bajo,Bajo,1.0,0.38,0.0,23.2,66.49,44.49,89.9,78.21,35.72,22.58,0.25,2.0,2.0
0901000012112,Álvaro Obregón,9888,192,63,,9535,7782,2421,2612,1898,1319,2396,1975,1494,786,13,10.14,0.9462,Medio,Bajo,1.94,0.66,,24.48,72.66,50.5,91.73,75.61,57.2,30.09,0.5,3.0,2.0
0901000012235,Álvaro Obregón,2796,71,20,0,2698,2266,680,772,603,489,716,672,395,233,,9.77,0.9526,Bajo,Bajo,2.54,0.74,0.0,24.32,78.11,63.34,92.75,87.05,51.17,30.18,,2.0,2.0
0901000011434,Álvaro Obregón,5554,44,18,0,5409,4533,1454,1360,1020,734,1258,1074,657,376,6,10.5,0.9554,Bajo,Bajo,0.79,0.33,0.0,26.18,75.0,53.97,92.5,78.97,48.31,27.65,0.44,2.0,2.0
0901000010169,Álvaro Obregón,2493,34,7,0,2421,2050,727,599,440,325,536,485,257,146,4,10.49,0.9431,Medio,Bajo,1.36,0.29,0.0,29.16,73.46,54.26,89.48,80.97,42.9,24.37,0.67,3.0,2.0
0901000012076,Álvaro Obregón,3152,35,24,0,3058,2550,711,770,559,434,720,643,425,241,3,10.3,0.9491,Bajo,Bajo,1.11,0.78,0.0,22.56,72.6,56.36,93.51,83.51,55.19,31.3,0.39,2.0,2.0
0901000012061,Álvaro Obregón,8541,167,65,,8323,6511,995,2594,2281,2123,2528,2083,1676,1523,0,12.87,0.9797,Muy bajo,Muy bajo,1.96,0.78,,11.65,87.93,81.84,97.46,80.3,64.61,58.71,0.0,1.0,1.0
0901000010309,Álvaro Obregón,3842,77,37,0,3760,3178,941,1060,826,609,980,813,542,362,6,10.73,0.9541,Bajo,Bajo,2.0,0.98,0.0,24.49,77.92,57.45,92.45,76.7,51.13,34.15,0.57,2.0,2.0
0901000011472,Álvaro Obregón,3788,127,53,0,3629,2905,934,881,578,393,788,717,391,198,13,9.28,0.9401,Medio,Bajo,3.35,1.46,0.0,24.66,65.61,44.61,89.44,81.38,44.38,22.47,1.48,3.0,2.0
0901000011379,Álvaro Obregón,2298,29,34,0,2229,1903,470,682,618,546,665,530,469,452,,12.88,0.968,Muy bajo,Muy bajo,1.26,1.53,0.0,20.45,90.62,80.06,97.51,77.71,68.77,66.28,,1.0,1.0
0901000010811,Álvaro Obregón,1230,14,6,0,1214,1117,230,495,442,414,471,380,331,267,0,14.43,0.9779,Muy bajo,Muy bajo,1.14,0.49,0.0,18.7,89.29,83.64,95.15,76.77,66.87,53.94,0.0,1.0,1.0
0901000011788,Álvaro Obregón,4219,76,29,0,4109,3371,1099,755,580,406,695,603,257,158,3,9.86,0.9553,Bajo,Bajo,1.8,0.71,0.0,26.05,76.82,53.77,92.05,79.87,34.04,20.93,0.4,2.0,2.0
0901000011839,Álvaro Obregón,4896,171,79,0,4714,3964,1354,1372,1056,827,1293,1142,875,502,,10.53,0.9497,Bajo,Bajo,3.49,1.68,0.0,27.66,76.97,60.28,94.24,83.24,63.78,36.59,,2.0,2.0
0901000012165,Álvaro Obregón,3201,132,70,0,3108,2601,907,910,594,401,822,705,345,293,,10.09,0.9461,Medio,Bajo,4.12,2.25,0.0,28.33,65.27,44.07,90.33,77.47,37.91,32.2,,3.0,2.0
0901000010489,Álvaro Obregón,3751,111,44,0,3636,3019,1109,1029,718,518,937,885,436,260,,9.99,0.9498,Bajo,Bajo,2.96,1.21,0.0,29.57,69.78,50.34,91.06,86.01,42.37,25.27,,2.0,2.0
090100001174A,Álvaro Obregón,9998,827,314,,9640,7804,3610,2603,1649,1095,2332,2071,698,418,13,9.4,0.9368,Medio,Bajo,8.27,3.26,,36.11,63.35,42.07,89.59,79.56,26.82,16.06,0.5,3.0,2.0
0901000011754,Álvaro Obregón,3230,243,76,,3112,2529,1066,850,552,348,771,692,275,138,4,9.38,0.9367,Medio,Bajo,7.52,2.44,,33.0,64.94,40.94,90.71,81.41,32.35,16.24,0.47,3.0,2.0
090100001135A,Álvaro Obregón,6908,192,83,,6653,5454,1797,1742,1245,862,1560,1517,499,375,,10.3,0.948,Bajo,Bajo,2.78,1.25,,26.01,71.47,49.48,89.55,87.08,28.65,21.53,,2.0,2.0
0901000011720,Álvaro Obregón,4093,255,95,,3935,3152,1172,1011,706,460,914,874,245,242,4,10.21,0.943,Medio,Bajo,6.23,2.41,,28.63,69.83,45.5,90.41,86.45,24.23,23.94,0.4,3.0,2.0
0901000011468,Álvaro Obregón,2600,116,58,,2498,1952,709,654,390,233,571,527,227,105,5,8.99,0.9345,Medio,Medio,4.46,2.32,,27.27,59.63,35.63,87.31,80.58,34.71,16.06,0.76,3.0,3.0
0901000011932,Álvaro Obregón,2659,110,43,3,2556,2037,770,749,438,269,673,578,262,122,12,9.04,0.9379,Medio,Medio,4.14,1.68,0.12,28.96,58.48,35.91,89.85,77.17,34.98,16.29,1.6,3.0,3.0
