anio,lengua,lengua_nombre,tipo,ent,ent_nombre,mun,num,casos
1990,0801,Tarasco (purépecha),nacimiento,020,Oaxaca,,20.0,2
1990,0801,Tarasco (purépecha),nacimiento,021,Puebla,,20.0,2
1990,0801,Tarasco (purépecha),nacimiento,029,Tlaxcala,,10.0,1
1990,0801,Tarasco (purépecha),nacimiento,030,Veracruz,,10.0,1
1990,0801,Tarasco (purépecha),nacimiento,012,Guerrero,,10.0,1
1990,0801,Tarasco (purépecha),nacimiento,024,San Luis Potosí,,10.0,1
1990,0901,Mixe,nacimiento,020,Oaxaca,,1940.0,194
1990,0901,Mixe,nacimiento,009,Ciudad de México,,40.0,4
1990,0901,Mixe,nacimiento,021,Puebla,,30.0,3
1990,0901,Mixe,nacimiento,013,Hidalgo,,20.0,2
1990,0901,Mixe,nacimiento,030,Veracruz,,10.0,1
1990,0901,Mixe,nacimiento,016,Michoacán,,10.0,1
1990,0907,Zoque,nacimiento,007,Chiapas,,40.0,4
1990,0907,Zoque,nacimiento,020,Oaxaca,,20.0,2
1990,1101,Huave,nacimiento,213,Otro país,,10.0,1
1990,1101,Huave,nacimiento,020,Oaxaca,,10.0,1
1990,9000,No especificado,nacimiento,009,Ciudad de México,,8770.0,877
1990,9000,No especificado,nacimiento,020,Oaxaca,,1820.0,182
1990,9000,No especificado,nacimiento,021,Puebla,,880.0,88
1990,9000,No especificado,nacimiento,015,México,,600.0,60
1990,9000,No especificado,nacimiento,013,Hidalgo,,500.0,50
1990,9000,No especificado,nacimiento,030,Veracruz,,480.0,48
1990,9000,No especificado,nacimiento,016,Michoacán,,420.0,42
1990,9000,No especificado,nacimiento,012,Guerrero,,360.0,36
1990,9000,No especificado,nacimiento,011,Guanajuato,,340.0,34
1990,9000,No especificado,nacimiento,007,Chiapas,,170.0,17
1990,9000,No especificado,nacimiento,024,San Luis Potosí,,130.0,13
1990,9000,No especificado,nacimiento,029,Tlaxcala,,130.0,13
1990,9000,No especificado,nacimiento,413,Otro país,,110.0,11
1990,9000,No especificado,nacimiento,014,Jalisco,,110.0,11
1990,9000,No especificado,nacimiento,022,Querétaro,,90.0,9
1990,9000,No especificado,nacimiento,031,Yucatán,,60.0,6
1990,9000,No especificado,nacimiento,017,Morelos,,60.0,6
1990,9000,No especificado,nacimiento,209,Otro país,,40.0,4
1990,9000,No especificado,nacimiento,115,Otro país,,40.0,4
1990,9000,No especificado,nacimiento,005,Coahuila,,40.0,4
1990,9000,No especificado,nacimiento,999,No especificado,,30.0,3
